Gender,Ethnicity,Child's First Name,Count
MALE,HISPANIC,Liam,387
MALE,HISPANIC,Jacob,351
MALE,HISPANIC,Dylan,312
MALE,HISPANIC,Matthew,297
FEMALE,HISPANIC,Isabella,276
MALE,HISPANIC,Noah,269
MALE,WHITE NON HISPANIC,Joseph,261
FEMALE,HISPANIC,Sophia,261
MALE,WHITE NON HISPANIC,Michael,260
MALE,HISPANIC,Sebastian,256
MALE,WHITE NON HISPANIC,David,255
MALE,HISPANIC,Ethan,250
MALE,WHITE NON HISPANIC,Moshe,239
MALE,WHITE NON HISPANIC,Jacob,236
MALE,WHITE NON HISPANIC,James,231
MALE,HISPANIC,Jayden,231
FEMALE,WHITE NON HISPANIC,Olivia,230
FEMALE,HISPANIC,Mia,228
FEMALE,WHITE NON HISPANIC,Rachel,221
MALE,WHITE NON HISPANIC,Benjamin,219
MALE,WHITE NON HISPANIC,Alexander,211
FEMALE,WHITE NON HISPANIC,Esther,209
MALE,HISPANIC,Lucas,206
FEMALE,WHITE NON HISPANIC,Sarah,202
FEMALE,WHITE NON HISPANIC,Emma,201
FEMALE,HISPANIC,Emma,197
MALE,WHITE NON HISPANIC,Daniel,196
MALE,WHITE NON HISPANIC,Henry,196
MALE,ASIAN AND PACIFIC ISLANDER,Ethan,193
MALE,HISPANIC,Aiden,192
FEMALE,WHITE NON HISPANIC,Charlotte,190
MALE,HISPANIC,Daniel,188
MALE,HISPANIC,Angel,187
FEMALE,WHITE NON HISPANIC,Chaya,182
FEMALE,HISPANIC,Camila,180
FEMALE,HISPANIC,Sofia,179
MALE,WHITE NON HISPANIC,Adam,178
MALE,WHITE NON HISPANIC,Jack,178
FEMALE,WHITE NON HISPANIC,Leah,178
FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,172
MALE,HISPANIC,Alexander,169
MALE,WHITE NON HISPANIC,William,169
FEMALE,WHITE NON HISPANIC,Ava,168
MALE,HISPANIC,Mason,168
FEMALE,WHITE NON HISPANIC,Chana,166
MALE,WHITE NON HISPANIC,Abraham,163
MALE,HISPANIC,Christopher,163
MALE,ASIAN AND PACIFIC ISLANDER,Ryan,160
FEMALE,WHITE NON HISPANIC,Miriam,159
MALE,ASIAN AND PACIFIC ISLANDER,Muhammad,157
MALE,WHITE NON HISPANIC,Samuel,156
MALE,ASIAN AND PACIFIC ISLANDER,Lucas,148
MALE,BLACK NON HISPANIC,Noah,148
FEMALE,WHITE NON HISPANIC,Sara,148
MALE,WHITE NON HISPANIC,Noah,147
MALE,WHITE NON HISPANIC,John,146
FEMALE,WHITE NON HISPANIC,Sophia,144
MALE,WHITE NON HISPANIC,Isaac,143
MALE,WHITE NON HISPANIC,Oliver,142
MALE,HISPANIC,Aaron,141
MALE,WHITE NON HISPANIC,Chaim,140
MALE,ASIAN AND PACIFIC ISLANDER,Jayden,138
MALE,HISPANIC,Mateo,138
MALE,BLACK NON HISPANIC,Aiden,137
MALE,HISPANIC,Joshua,137
FEMALE,WHITE NON HISPANIC,Maya,137
FEMALE,WHITE NON HISPANIC,Emily,136
MALE,WHITE NON HISPANIC,Nicholas,136
MALE,HISPANIC,Adrian,135
MALE,ASIAN AND PACIFIC ISLANDER,Aiden,133
MALE,WHITE NON HISPANIC,Ethan,133
MALE,HISPANIC,Anthony,130
MALE,HISPANIC,David,129
MALE,WHITE NON HISPANIC,Ryan,129
MALE,WHITE NON HISPANIC,Liam,128
MALE,WHITE NON HISPANIC,Matthew,127
FEMALE,WHITE NON HISPANIC,Rivka,127
MALE,HISPANIC,Michael,126
FEMALE,HISPANIC,Emily,124
MALE,WHITE NON HISPANIC,Gabriel,124
MALE,WHITE NON HISPANIC,Leo,121
FEMALE,HISPANIC,Valentina,119
FEMALE,HISPANIC,Abigail,117
MALE,WHITE NON HISPANIC,Eli,117
FEMALE,WHITE NON HISPANIC,Elizabeth,117
FEMALE,WHITE NON HISPANIC,Mia,117
MALE,WHITE NON HISPANIC,Theodore,117
MALE,BLACK NON HISPANIC,Elijah,116
FEMALE,HISPANIC,Leah,116
FEMALE,HISPANIC,Victoria,116
MALE,HISPANIC,Gabriel,115
MALE,HISPANIC,Logan,115
MALE,WHITE NON HISPANIC,Lucas,115
FEMALE,HISPANIC,Madison,115
FEMALE,WHITE NON HISPANIC,Ella,114
MALE,HISPANIC,Isaac,114
MALE,WHITE NON HISPANIC,Yosef,114
FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,112
MALE,WHITE NON HISPANIC,Thomas,112
